name,frequency
Teo,11.0
Thorgan,11.0
Tobe,11.0
Valentin,11.0
Wietse,11.0
Wiktor,11.0
Yunus,11.0
Zaid,11.0
Zakariya,11.0
Adnan,10.0
Ahmet,10.0
Amar,10.0
Anthony,10.0
Antoine,10.0
Berat,10.0
Colin,10.0
Fynn,10.0
Ilano,10.0
Jaro,10.0
Jayce,10.0
Jayson,10.0
Jona,10.0
Junayd,10.0
Karam,10.0
Kas,10.0
Kian,10.0
Leonard,10.0
Lino,10.0
Luan,10.0
Luuk,10.0
Maarten,10.0
Maximilian,10.0
Michiel,10.0
Mirac,10.0
Pieter,10.0
Pol,10.0
Rocco,10.0
Romain,10.0
Safouane,10.0
Santiago,10.0
Valentino,10.0
Yaman,10.0
Yousef,10.0
Zain,10.0
Zeyd,10.0
Alessandro,9.0
Anton,9.0
Armin,9.0
Auguste,9.0
Aymane,9.0
Azad,9.0
Bill,9.0
Castor,9.0
Corneel,9.0
Cériel,9.0
Damian,9.0
Damon,9.0
Daniël,9.0
Dennis,9.0
Dion,9.0
Eliah,9.0
Eliot,9.0
Emiliano,9.0
Emin,9.0
Eray,9.0
Erik,9.0
Ernest,9.0
Hendrik,9.0
Hussein,9.0
Ides,9.0
Ilian,9.0
Jerôme,9.0
León,9.0
Lode,9.0
Matin,9.0
Matthis,9.0
Milas,9.0
Mille,9.0
Nadir,9.0
Naut,9.0
Neal,9.0
Neel,9.0
Obe,9.0
Oliwier,9.0
Ramon,9.0
Reda,9.0
Rodrigo,9.0
Rémy,9.0
Scout,9.0
Sebastiaan,9.0
Swa,9.0
Will,9.0
Yasir,9.0
Zion,9.0
Aimé,8.0
Arnout,8.0
Austin,8.0
Baptist,8.0
Bowie,8.0
Brecht,8.0
Brian,8.0
Burak,8.0
Charly,8.0
Devon,8.0
Dominic,8.0
Ellis,8.0
Emanuel,8.0
Eppo,8.0
Faris,8.0
Fenn,8.0
Fer,8.0
Frederik,8.0
Haron,8.0
Harun,8.0
Helder,8.0
Ilan,8.0
Ishaaq,8.0
Joe,8.0
Johannes,8.0
John,8.0
Jolan,8.0
Jordan,8.0
Joud,8.0
Julot,8.0
Justin,8.0
Jérome,8.0
Kyle,8.0
Lee,8.0
Lion,8.0
Lloyd,8.0
Loewie,8.0
Loewis,8.0
Luke,8.0
Lyaz,8.0
Mamadou,8.0
Mano,8.0
Manu,8.0
Mark,8.0
Matti,8.0
Maurits,8.0
Maximiliaan,8.0
Mohamad,8.0
Niyo,8.0
Nizar,8.0
Noan,8.0
Olaf,8.0
Onno,8.0
Raven,8.0
Rayane,8.0
Rayen,8.0
Reinout,8.0
Riley,8.0
Rover,8.0
Rowan,8.0
Rowen,8.0
Roy,8.0
Samy,8.0
Sen,8.0
Soulayman,8.0
Thibau,8.0
Toby,8.0
Tom,8.0
Tomas,8.0
Tymon,8.0
Umut,8.0
Vick,8.0
Viggo,8.0
Vigo,8.0
Yavuz,8.0
Adem,7.0
Alejandro,7.0
Aloïs,7.0
Amadou,7.0
Andrea,7.0
Andres,7.0
Andrew,7.0
Anwar,7.0
Aram,7.0
Ares,7.0
Arman,7.0
Aryan,7.0
Asaf,7.0
Astor,7.0
Ayan,7.0
Ayub,7.0
Cezar,7.0
Chaim,7.0
Dalil,7.0
Dario,7.0
Djayden,7.0
Dominik,7.0
Dorian,7.0
Driss,7.0
Efe,7.0
Egemen,7.0
Egon,7.0
Eliott,7.0
Elyas,7.0
Enis,7.0
Ertugrul,7.0
Esben,7.0
Evan,7.0
Francis,7.0
Franciszek,7.0
Furkan,7.0
Gijs,7.0
Giuliano,7.0
Gustaaf,7.0
Hüseyin,7.0
Iben,7.0
Ilya,7.0
Ivan,7.0
Jeppe,7.0
Jitse,7.0
Kenzo,7.0
Killian,7.0
Kjell,7.0
